Date,MSFT,FB,AMZN,NVDA,AAPL,DDOG,VSLR
9/19/2019,141.07,190.14,1821.50,176.94,55.24,37.55,7.93
9/20/2019,139.44,189.93,1794.16,172.69,54.43,36.15,7.78
9/23/2019,139.14,186.82,1785.30,174.84,54.68,36.11,7.97
9/24/2019,137.38,181.28,1741.61,172.53,54.42,34.50,7.46
9/25/2019,139.36,182.80,1768.33,178.23,55.26,35.25,7.28
9/26/2019,139.54,180.11,1739.84,177.34,54.97,32.44,6.69
9/27/2019,137.73,177.10,1725.45,171.76,54.71,32.27,6.55
9/30/2019,139.03,178.08,1735.91,174.07,55.99,33.91,6.54
10/1/2019,137.07,175.81,1735.65,174.00,56.15,32.39,6.38
10/2/2019,134.65,174.60,1713.23,173.04,54.74,31.10,6.56
10/3/2019,136.28,179.38,1724.42,181.31,55.21,32.89,6.64
10/4/2019,138.12,180.45,1739.65,181.97,56.75,34.72,6.92
10/7/2019,137.12,179.68,1732.66,184.33,56.77,36.81,6.98
10/8/2019,135.67,177.75,1705.51,177.23,56.10,35.45,7.14
10/9/2019,138.24,179.85,1721.99,180.71,56.76,36.75,6.81
10/10/2019,139.10,180.03,1720.26,183.03,57.52,35.60,7.02
10/11/2019,139.68,184.19,1731.92,185.99,59.05,35.67,7.08
10/14/2019,139.55,183.28,1736.43,186.53,58.97,33.09,6.96
10/15/2019,141.58,188.89,1767.38,196.37,58.83,34.80,6.96
10/16/2019,140.41,189.55,1777.43,194.21,58.59,32.20,6.65
10/17/2019,139.69,190.39,1787.48,194.29,58.82,33.96,6.73
10/18/2019,137.41,185.85,1757.51,190.49,59.10,31.57,7.01
10/21/2019,138.43,189.76,1785.66,196.01,60.13,30.01,6.94
10/22/2019,136.37,182.34,1765.73,195.61,59.99,28.04,6.40
10/23/2019,137.24,186.15,1762.17,195.09,60.80,28.76,6.38
10/24/2019,139.94,186.38,1780.78,196.86,60.90,32.50,6.54
10/25/2019,140.73,187.89,1761.33,204.54,61.65,34.30,6.65
10/28/2019,144.19,189.40,1777.08,206.79,62.26,33.28,6.82
10/29/2019,142.83,189.31,1762.71,202.92,60.82,33.65,6.99
10/30/2019,144.61,188.25,1779.99,203.00,60.82,34.81,6.97
10/31/2019,143.37,191.65,1776.66,201.02,62.19,33.59,7.01
11/1/2019,143.72,193.62,1791.44,202.59,63.96,34.02,7.04
11/4/2019,144.55,194.72,1804.66,210.50,64.38,34.44,6.66
11/5/2019,144.46,194.32,1801.71,209.61,64.28,34.91,6.77
11/6/2019,144.06,191.55,1795.77,207.63,64.31,33.06,6.64
11/7/2019,144.26,190.42,1788.20,208.34,64.86,31.29,7.09
11/8/2019,145.96,190.84,1785.88,207.78,65.04,32.81,7.16
11/11/2019,146.11,189.61,1771.65,208.18,65.55,33.55,6.91
11/12/2019,147.07,194.47,1778.00,209.61,65.49,34.40,6.91
11/13/2019,147.31,193.19,1753.11,208.57,66.12,40.19,6.59
11/14/2019,148.06,193.15,1754.60,209.79,65.66,41.37,6.67
11/15/2019,149.97,195.10,1739.49,204.19,66.44,40.63,6.80
11/18/2019,150.34,197.40,1752.53,212.28,66.78,40.32,6.70
11/19/2019,150.39,199.32,1752.79,207.99,66.57,39.15,6.52
11/20/2019,149.62,197.51,1745.53,211.18,65.80,38.40,6.39
11/21/2019,149.48,197.93,1734.71,210.18,65.50,40.03,6.47
11/22/2019,149.59,198.82,1745.72,210.89,65.45,41.04,6.97
11/25/2019,151.23,199.79,1773.84,221.21,66.59,42.81,7.27
11/26/2019,152.03,198.97,1796.94,217.00,66.07,40.55,7.28
11/27/2019,152.32,202.00,1818.51,218.24,66.96,41.86,7.44
11/29/2019,151.38,201.64,1800.80,216.74,66.81,40.77,7.35
12/2/2019,149.55,199.70,1781.60,209.25,66.04,39.60,7.23
12/3/2019,149.31,198.82,1769.96,207.66,64.86,37.77,7.19
12/4/2019,149.85,198.71,1760.69,209.42,65.44,36.92,7.31
12/5/2019,149.93,199.36,1740.48,208.74,66.40,35.86,7.29
12/6/2019,151.75,201.05,1751.60,212.17,67.68,35.91,7.34
12/9/2019,151.36,201.34,1749.51,212.17,66.73,35.16,7.19
12/10/2019,151.13,200.87,1739.21,213.98,67.12,34.81,6.85
12/11/2019,151.70,202.26,1748.72,217.34,67.69,35.55,7.10
12/12/2019,153.24,196.75,1760.33,224.07,67.87,35.73,7.75
12/13/2019,154.53,194.11,1760.94,223.99,68.79,38.79,7.70
12/16/2019,155.53,197.92,1769.21,225.15,69.97,38.79,7.80
12/17/2019,154.69,198.39,1790.66,228.29,70.10,37.18,7.74
12/18/2019,154.37,202.50,1784.03,229.51,69.94,38.21,7.72
12/19/2019,155.71,206.06,1792.28,235.46,70.01,38.10,7.87
12/20/2019,157.41,206.30,1786.50,239.37,69.86,38.51,7.70
12/23/2019,157.41,206.18,1793.00,238.82,71.00,37.80,7.58
12/24/2019,157.38,205.12,1789.21,238.62,71.07,37.09,7.64
12/26/2019,158.67,207.79,1868.77,239.19,72.48,37.96,7.87
12/27/2019,158.96,208.10,1869.80,236.87,72.45,36.11,7.76
12/30/2019,157.59,204.41,1846.89,232.32,72.88,37.13,7.37
12/31/2019,157.70,205.25,1847.84,235.30,73.41,37.78,7.26
1/2/2020,160.62,209.78,1898.01,239.91,75.09,36.70,7.57
1/3/2020,158.62,208.67,1874.97,236.07,74.36,37.42,7.79
1/6/2020,159.03,212.60,1902.88,237.06,74.95,39.90,7.70
1/7/2020,157.58,213.06,1906.86,239.93,74.60,40.06,7.76
1/8/2020,160.09,215.22,1891.97,240.38,75.80,39.95,7.93
1/9/2020,162.09,218.30,1901.05,243.02,77.41,40.21,8.15
1/10/2020,161.34,218.06,1883.16,244.32,77.58,40.16,7.96
1/13/2020,163.28,221.91,1891.30,251.98,79.24,40.94,8.20
1/14/2020,162.13,219.06,1869.44,247.28,78.17,39.27,8.25
1/15/2020,163.18,221.15,1862.02,245.57,77.84,40.23,8.33
1/16/2020,166.17,221.77,1877.94,248.93,78.81,40.61,8.60
1/17/2020,167.10,222.14,1864.72,249.28,79.68,41.19,8.85
1/21/2020,166.50,221.44,1892.00,247.94,79.14,41.13,8.87
1/22/2020,165.70,221.32,1887.46,250.05,79.43,42.24,8.88
1/23/2020,166.72,219.76,1884.58,252.86,79.81,42.81,8.91
1/24/2020,165.04,217.94,1861.64,250.48,79.58,42.05,8.67
1/27/2020,162.28,214.87,1828.34,240.20,77.24,41.26,8.38
1/28/2020,165.46,217.79,1853.25,247.97,79.42,42.16,8.48
1/29/2020,168.04,223.23,1858.00,245.54,81.09,43.92,8.73
1/30/2020,172.78,209.53,1870.68,245.81,80.97,47.04,8.89
1/31/2020,170.23,201.91,2008.72,236.43,77.38,46.21,8.16
2/3/2020,174.38,204.19,2004.20,240.33,77.17,45.26,7.97
2/4/2020,180.12,209.83,2049.67,247.13,79.71,47.60,8.12
2/5/2020,179.90,210.11,2039.87,250.76,80.36,45.73,8.80
2/6/2020,183.63,210.85,2050.23,254.25,81.30,46.05,9.27
2/7/2020,183.89,212.33,2079.28,251.59,80.01,47.18,9.16
2/10/2020,188.70,213.06,2133.91,262.97,80.39,47.95,9.49
2/11/2020,184.44,207.19,2150.80,267.89,79.90,47.81,10.05
2/12/2020,184.71,210.76,2160.00,272.54,81.80,50.01,10.92
2/13/2020,183.71,213.14,2149.87,270.78,81.22,48.50,11.00
2/14/2020,185.35,214.18,2134.87,289.79,81.24,47.03,10.91
2/18/2020,187.23,217.80,2155.67,296.57,79.75,47.08,11.04
2/19/2020,187.28,217.49,2170.22,314.70,80.91,47.30,11.80
2/20/2020,184.42,214.58,2153.10,308.70,80.08,45.99,12.85
2/21/2020,178.59,210.18,2095.97,294.07,78.26,45.68,11.44
2/24/2020,170.89,200.72,2009.29,273.28,74.55,44.96,11.76
2/25/2020,168.07,196.77,1972.74,262.05,72.02,44.31,11.59
2/26/2020,170.17,197.20,1979.59,267.65,73.16,43.91,11.91
2/27/2020,158.18,189.75,1884.30,252.60,68.38,45.89,11.08
2/28/2020,162.01,192.47,1883.75,270.07,68.34,45.15,11.24
3/2/2020,172.79,196.44,1953.95,276.43,74.70,44.79,11.19
3/3/2020,164.51,185.89,1908.99,265.89,72.33,43.40,11.69
3/4/2020,170.55,191.76,1975.83,284.51,75.69,44.53,11.91
3/5/2020,166.27,185.17,1924.03,273.29,73.23,47.30,11.73
3/6/2020,161.57,181.09,1901.09,266.04,72.26,43.62,10.78
3/9/2020,150.62,169.50,1800.61,245.44,66.54,38.82,9.41
3/10/2020,160.92,178.19,1891.82,261.08,71.34,38.00,9.59
3/11/2020,153.63,170.24,1820.86,246.47,68.86,35.56,8.25
3/12/2020,139.06,154.47,1676.61,216.31,62.06,33.10,6.72
3/13/2020,158.83,170.28,1785.00,240.84,69.49,35.26,6.20
3/16/2020,135.42,146.01,1689.15,196.40,60.55,28.96,5.25
3/17/2020,146.57,149.42,1807.84,217.27,63.22,34.12,4.31
3/18/2020,140.40,146.96,1830.00,202.82,61.67,32.08,3.29
3/19/2020,142.71,153.13,1880.93,212.97,61.20,33.10,3.70
3/20/2020,137.35,149.73,1846.09,205.75,57.31,33.38,4.02
3/23/2020,135.98,148.10,1902.83,212.69,56.09,32.90,4.20
3/24/2020,148.34,160.98,1940.10,249.18,61.72,34.49,4.75
3/25/2020,146.92,156.21,1885.84,245.62,61.38,33.69,5.07
3/26/2020,156.11,163.34,1955.49,257.24,64.61,34.30,4.98
3/27/2020,149.70,156.79,1900.10,252.73,61.94,34.55,4.71
3/30/2020,160.23,165.95,1963.95,265.59,63.70,34.75,4.60
3/31/2020,157.71,166.80,1949.72,263.60,63.57,35.98,4.37
4/1/2020,152.11,159.60,1907.70,243.07,60.23,34.88,4.00
4/2/2020,155.26,158.19,1918.83,255.47,61.23,34.60,4.20
4/3/2020,153.83,154.18,1906.59,243.91,60.35,34.69,4.01
4/6/2020,165.27,165.55,1997.59,268.40,65.62,36.28,4.26
4/7/2020,163.49,168.83,2011.60,259.03,64.86,35.90,4.89
4/8/2020,165.13,174.28,2043.00,266.95,66.52,37.15,5.46
4/9/2020,165.14,175.19,2042.76,262.95,67.00,36.95,5.68
4/13/2020,165.51,174.79,2168.87,269.85,68.31,37.87,5.36
4/14/2020,173.70,178.17,2283.32,283.95,71.76,38.91,5.78
4/15/2020,171.88,176.97,2307.68,280.84,71.11,38.74,5.32
4/16/2020,177.04,176.25,2408.19,294.70,71.67,39.64,5.05
4/17/2020,178.60,179.24,2375.00,292.32,70.70,40.40,5.42
4/20/2020,175.06,178.24,2393.61,287.05,69.23,40.99,5.64
4/21/2020,167.82,170.80,2328.12,269.51,67.09,40.00,5.51
4/22/2020,173.52,182.28,2363.49,286.15,69.03,40.29,5.86
4/23/2020,171.42,185.13,2399.45,284.01,68.76,40.15,6.19
4/24/2020,174.55,190.07,2410.22,289.59,70.74,41.81,5.77
4/27/2020,174.05,187.50,2376.00,297.08,70.79,43.23,5.93
4/28/2020,169.81,182.91,2314.08,291.36,69.65,43.60,6.00
4/29/2020,177.43,194.19,2372.71,298.46,71.93,44.65,6.75
4/30/2020,179.21,204.71,2474.00,292.28,73.45,45.12,6.34
5/1/2020,174.57,202.27,2286.04,282.78,72.27,44.98,5.83
5/4/2020,178.84,205.26,2315.99,291.29,73.29,45.83,5.99
5/5/2020,180.76,207.07,2317.80,293.74,74.39,46.60,6.00
5/6/2020,182.54,208.47,2351.26,297.79,75.16,46.56,6.34
5/7/2020,183.60,211.26,2367.61,304.87,75.94,49.61,6.41
5/8/2020,184.68,212.35,2379.61,312.50,77.53,51.73,6.58
5/11/2020,186.74,213.18,2409.00,322.62,78.75,55.69,6.15
5/12/2020,182.51,210.10,2356.95,312.10,77.85,68.86,6.18
5/13/2020,179.75,205.10,2367.92,311.20,76.91,69.99,5.77
5/14/2020,180.53,206.81,2388.85,321.22,77.39,65.19,5.86
5/15/2020,183.16,210.88,2409.78,339.63,76.93,67.16,6.10
5/18/2020,184.91,213.19,2426.26,350.01,78.74,67.41,6.61
5/19/2020,183.63,216.88,2449.33,352.22,78.29,70.06,6.96
5/20/2020,185.66,229.97,2497.94,358.80,79.81,70.70,6.80
5/21/2020,183.43,231.39,2446.74,351.01,79.21,69.89,7.18
5/22/2020,183.51,234.91,2436.88,361.05,79.72,73.04,6.90
5/26/2020,181.57,232.20,2421.86,348.71,79.18,71.00,7.23
5/27/2020,181.81,229.14,2410.39,341.01,79.53,66.82,7.43
5/28/2020,181.40,225.46,2401.10,339.48,79.56,67.13,7.45
5/29/2020,183.25,225.09,2442.37,355.02,79.49,71.27,7.52
6/1/2020,182.83,231.91,2471.04,352.25,80.46,69.49,8.21
6/2/2020,184.91,232.72,2472.41,353.01,80.84,70.81,8.30
6/3/2020,185.36,230.16,2478.40,350.78,81.28,72.89,9.21
6/4/2020,182.92,226.29,2460.60,350.66,80.58,71.76,8.93
6/5/2020,187.20,230.77,2483.00,356.80,82.88,70.66,8.98
6/8/2020,188.36,231.40,2524.06,352.20,83.37,76.54,9.64
6/9/2020,189.80,238.67,2600.86,361.84,86.00,73.74,10.17
6/10/2020,196.84,236.73,2647.45,374.67,88.21,78.26,9.90
6/11/2020,186.27,224.43,2557.96,351.85,83.98,76.05,8.38
6/12/2020,187.74,228.58,2545.02,357.30,84.70,78.05,9.16
6/15/2020,188.94,232.50,2572.68,366.95,85.75,81.52,9.80
6/16/2020,193.57,235.65,2615.27,362.74,88.02,81.99,10.14
6/17/2020,194.24,235.53,2640.98,369.44,87.90,83.04,9.62
6/18/2020,196.32,235.94,2653.98,368.72,87.93,86.65,9.94
6/19/2020,195.15,238.79,2675.01,370.45,87.43,86.79,9.81
6/22/2020,200.57,239.22,2713.82,381.07,89.72,89.01,10.00
6/23/2020,201.91,242.24,2764.41,378.00,91.63,89.69,10.02
6/24/2020,197.84,234.02,2734.40,369.42,90.02,88.50,10.04
6/25/2020,200.34,235.68,2754.58,379.60,91.21,89.60,9.61
6/26/2020,196.33,216.08,2692.87,366.20,88.41,84.50,9.20
6/29/2020,198.44,220.64,2680.38,368.00,90.45,83.72,9.49
6/30/2020,203.51,227.07,2758.82,379.91,91.20,86.95,9.90
7/1/2020,204.70,237.55,2878.70,381.20,91.03,89.38,9.92
7/2/2020,206.26,233.42,2890.30,384.49,91.03,89.59,10.07
7/6/2020,210.70,240.28,3057.04,393.57,93.46,88.96,10.63
7/7/2020,208.25,240.86,3000.12,394.87,93.17,90.09,14.69
7/8/2020,212.83,243.58,3081.11,408.64,95.34,96.13,15.40
7/9/2020,214.32,244.50,3182.63,420.36,95.68,96.10,15.33
7/10/2020,213.67,245.07,3200.00,419.17,95.92,96.41,15.97
7/13/2020,207.07,239.00,3104.00,402.09,95.48,86.66,16.61
7/14/2020,208.35,239.73,3084.00,415.08,97.06,88.89,18.85
7/15/2020,208.04,240.28,3008.87,409.09,97.73,88.48,19.75
7/16/2020,203.92,240.93,2999.90,405.39,96.52,85.32,20.15
7/17/2020,202.88,242.03,2961.97,408.06,96.33,87.30,20.19
7/20/2020,211.60,245.42,3196.84,420.43,98.36,92.14,21.03
7/21/2020,208.75,241.75,3138.29,413.14,97.00,90.72,21.52
7/22/2020,211.75,239.87,3099.91,417.55,97.27,89.50,22.25
7/23/2020,202.54,232.60,2986.55,405.19,92.85,85.22,23.27
7/24/2020,201.30,230.71,3008.91,407.78,92.62,84.84,22.50
7/27/2020,203.85,233.50,3055.21,416.86,94.81,87.83,23.22
7/28/2020,202.02,230.12,3000.33,408.62,93.25,88.28,22.12
7/29/2020,204.06,233.29,3033.53,418.62,95.04,90.13,20.00
7/30/2020,203.90,234.50,3051.88,424.56,96.19,92.76,20.07
7/31/2020,205.01,253.67,3164.68,424.59,106.26,93.86,20.34
8/3/2020,216.54,251.96,3111.89,440.41,108.94,95.67,21.84
8/4/2020,213.29,249.83,3138.83,449.11,109.67,94.22,23.87
8/5/2020,212.94,249.12,3205.03,451.47,110.06,94.32,25.57
8/6/2020,216.35,265.28,3225.00,453.42,113.90,90.01,25.79
8/7/2020,212.48,268.44,3167.46,447.98,111.11,75.28,25.19
8/10/2020,208.25,263.00,3148.16,446.60,112.73,76.37,25.91
8/11/2020,203.38,256.13,3080.67,434.00,109.38,75.68,23.31
8/12/2020,209.19,259.89,3162.24,457.61,113.01,76.61,24.77
8/13/2020,208.70,261.30,3161.02,457.72,115.01,82.42,25.63
8/14/2020,208.90,261.24,3148.02,462.56,114.91,81.24,24.98
8/17/2020,210.28,261.16,3182.41,493.48,114.61,83.45,26.10
8/18/2020,211.49,262.34,3312.49,490.43,115.56,83.46,25.35
8/19/2020,209.70,262.59,3260.48,485.54,115.71,82.47,26.30
8/20/2020,214.58,269.01,3297.37,485.64,118.28,85.78,25.21
8/21/2020,213.02,267.01,3284.72,507.34,124.37,86.12,26.44
8/24/2020,213.69,271.39,3307.46,508.81,125.86,84.34,27.92
8/25/2020,216.47,280.82,3346.49,510.00,124.83,83.77,27.86
8/26/2020,221.15,303.91,3441.85,510.92,126.52,86.28,27.44
8/27/2020,226.58,293.22,3400.00,505.13,125.01,83.54,28.70
8/28/2020,228.91,293.66,3401.80,525.91,124.81,82.98,30.52
8/31/2020,225.53,293.20,3450.96,534.98,129.04,83.55,30.88
9/1/2020,227.27,295.44,3499.12,552.84,134.18,85.77,31.90
9/2/2020,231.65,302.50,3531.45,573.86,131.40,84.19,31.16
9/3/2020,217.30,291.12,3368.00,520.62,120.88,80.10,27.93
9/4/2020,214.25,282.73,3294.62,504.90,120.96,79.57,26.86
9/8/2020,202.66,271.16,3149.84,476.52,112.82,79.98,28.29
9/9/2020,211.29,273.72,3268.61,508.60,117.32,81.98,30.21
9/10/2020,205.37,268.09,3175.11,492.47,113.49,80.67,30.69
9/11/2020,204.03,266.61,3116.22,486.58,112.00,80.36,30.52
9/14/2020,205.41,266.15,3102.97,514.89,115.36,84.39,32.41
9/15/2020,208.78,272.42,3156.13,519.64,115.54,88.54,33.47
9/16/2020,205.05,263.52,3078.10,500.58,112.13,89.38,34.31
9/17/2020,202.91,254.82,3008.73,498.54,110.34,87.25,32.74
9/18/2020,200.39,252.53,2954.91,487.57,106.84,85.69,33.24
9/21/2020,202.54,248.15,2960.47,500.69,110.08,88.14,33.09
9/22/2020,207.42,254.75,3128.99,505.51,111.81,93.41,34.53
9/23/2020,200.59,249.02,2999.86,484.95,107.12,91.10,33.85
9/24/2020,203.19,249.53,3019.79,493.92,108.22,88.37,33.25
9/25/2020,207.82,254.82,3095.13,514.95,112.28,90.65,36.43
9/28/2020,209.44,256.82,3174.05,521.40,114.96,92.25,39.45
9/29/2020,207.26,261.79,3144.88,529.03,114.09,90.92,39.97
9/30/2020,210.33,261.90,3148.73,541.22,115.81,102.16,42.35
10/1/2020,212.46,266.63,3221.26,544.58,116.79,103.51,43.88
10/2/2020,206.19,259.94,3125.00,522.49,113.02,103.49,42.02
